행정구역,2018년_계_총인구수,2018년_계_연령구간인구수,2018년_계_0세,2018년_계_1세,2018년_계_2세,2018년_계_3세,2018년_계_4세,2018년_계_5세,2018년_계_6세,2018년_계_7세,2018년_계_8세,2018년_계_9세,2018년_계_10세,2018년_계_11세,2018년_계_12세,2018년_계_13세,2018년_계_14세,2018년_계_15세,2018년_계_16세,2018년_계_17세,2018년_계_18세,2018년_계_19세,2018년_계_20세,2018년_계_21세,2018년_계_22세,2018년_계_23세,2018년_계_24세,2018년_계_25세,2018년_계_26세,2018년_계_27세,2018년_계_28세,2018년_계_29세,2018년_계_30세,2018년_계_31세,2018년_계_32세,2018년_계_33세,2018년_계_34세,2018년_계_35세,2018년_계_36세,2018년_계_37세,2018년_계_38세,2018년_계_39세,2018년_계_40세,2018년_계_41세,2018년_계_42세,2018년_계_43세,2018년_계_44세,2018년_계_45세,2018년_계_46세,2018년_계_47세,2018년_계_48세,2018년_계_49세,2018년_계_50세,2018년_계_51세,2018년_계_52세,2018년_계_53세,2018년_계_54세,2018년_계_55세,2018년_계_56세,2018년_계_57세,2018년_계_58세,2018년_계_59세,2018년_계_60세,2018년_계_61세,2018년_계_62세,2018년_계_63세,2018년_계_64세,2018년_계_65세,2018년_계_66세,2018년_계_67세,2018년_계_68세,2018년_계_69세,2018년_계_70세,2018년_계_71세,2018년_계_72세,2018년_계_73세,2018년_계_74세,2018년_계_75세,2018년_계_76세,2018년_계_77세,2018년_계_78세,2018년_계_79세,2018년_계_80세,2018년_계_81세,2018년_계_82세,2018년_계_83세,2018년_계_84세,2018년_계_85세,2018년_계_86세,2018년_계_87세,2018년_계_88세,2018년_계_89세,2018년_계_90세,2018년_계_91세,2018년_계_92세,2018년_계_93세,2018년_계_94세,2018년_계_95세,2018년_계_96세,2018년_계_97세,2018년_계_98세,2018년_계_99세,2018년_계_100세 이상
전국  (0000000000),51826059,51826059,317685,361625,411225,443586,440123,441105,489604,476168,473690,448251,468897,496074,449936,436420,474221,493626,494894,559205,638581,619299,639161,670613,684673,707318,713137,709738,724841,702366,640669,631457,626456,618363,628466,653494,662582,749232,823253,841390,838252,828655,722964,779981,763284,790977,858988,894197,895079,942734,917454,922929,924835,860005,813809,848593,830351,789814,876735,908987,916989,845766,771988,764437,689181,712414,604829,521677,575151,418063,444324,447575,442396,444124,351623,311811,330238,328898,399138,323880,281424,284404,250659,226215,205546,189010,161164,131986,116012,90800,78557,67043,53871,42582,29257,23226,16758,15894,11613,7562,5392,3752,18783
서울특별시  (1100000000),9765623,9765623,54719,60805,67262,71433,70251,69728,76957,73813,74748,70652,75180,79733,74074,71698,79681,82773,83012,92791,108139,108040,114742,122499,129725,141389,150560,156527,165963,165471,153068,149846,149513,144453,144811,146839,144733,158638,167463,167486,163901,160933,136161,147034,144348,147229,159565,165782,169226,178517,172444,170068,166145,155294,142798,151714,151001,144221,155417,159935,165629,154800,144310,143745,130874,138260,116760,103128,111910,78386,87224,87818,86655,88400,71356,62630,63177,61641,72519,57783,48945,47719,41292,36763,32399,29710,24311,20073,17581,13961,11997,10782,8836,7080,5004,3893,2991,2895,2092,1507,1178,818,5843
부산광역시  (2600000000),3441453,3441453,18531,21375,24529,26554,26104,25834,28642,27672,27226,24975,26227,27726,24976,24584,26973,28605,28741,33069,37790,37454,39632,42068,45384,47003,47937,47714,47895,45853,40543,40708,39294,38091,38376,39533,40752,46481,51165,53881,54104,53034,45437,47896,45754,49007,52868,55236,55892,58354,57978,58625,59290,56981,53049,55408,54635,54343,62280,65955,67993,63255,59423,60475,55524,59189,49610,43815,47250,37843,37135,37863,37151,35718,28035,23810,26676,26538,29291,24172,21274,20327,17053,15426,13554,12223,10302,8251,7303,5801,4611,4151,3414,2746,1721,1381,988,853,666,408,303,243,1665
대구광역시  (2700000000),2461769,2461769,13993,16306,18774,20010,20020,19918,22413,21705,21518,20296,21370,23101,21019,21075,22798,24714,24143,28158,32279,31015,31710,34225,34958,35752,35081,34115,34308,32597,29209,28890,26957,26968,27054,28016,28041,32482,36090,37391,37430,37549,32321,35851,35684,37855,40581,42659,43764,45472,44715,45368,46587,44166,40519,42525,41598,39327,44136,45664,43639,42982,35806,37214,34069,34356,28529,26830,29092,22212,21917,22725,22493,20941,14969,13482,15939,16442,18577,15218,13166,13359,11321,10246,9222,8432,7323,5750,5143,3943,3149,2540,2157,1673,1072,905,616,502,369,273,178,130,628
인천광역시  (2800000000),2954642,2954642,19012,20811,23846,25976,25726,25900,28334,27977,27557,26162,27075,28912,25722,25041,26868,28329,27938,31702,35830,34907,36013,38608,39791,41868,43177,43817,44984,43621,39557,38358,37532,36502,37324,38789,39229,44713,49175,50745,50055,49605,43063,45905,44086,46593,49624,52008,52284,54364,53175,53621,54048,50308,48013,51583,51105,48369,53561,54179,54115,48948,45069,43034,37625,38385,31814,26843,29370,19160,21604,22128,21508,21987,17735,15100,15308,15316,18020,14582,12298,12538,11293,9796,9210,8489,7103,5988,5208,4145,3681,3238,2555,2019,1441,1169,885,751,533,403,266,179,826
광주광역시  (2900000000),1459336,1459336,8913,10411,12151,13087,13409,13531,15476,14832,15052,14415,14919,16227,14734,14321,15643,16954,16707,19260,22146,20976,21649,22672,22397,22809,21768,20869,20729,19182,17014,16654,16277,16384,16667,17421,18353,21016,23533,23440,23398,23931,20954,23002,22868,22689,25733,26003,26171,27074,26605,25292,26585,24195,23430,23354,21893,21953,21917,22306,24038,21613,19213,18966,16006,16925,14038,12121,13535,10998,11481,11998,10994,11620,9190,8125,8088,7411,10301,8031,6710,6530,5881,5297,4476,4269,3840,3002,2532,2045,1914,1664,1200,967,686,548,336,384,257,178,120,86,371
대전광역시  (3000000000),1489936,1489936,9105,10815,12287,13359,13110,13301,14499,14392,14127,13502,14261,15321,13960,13582,15082,15641,15608,17591,19987,19504,20352,21651,22132,22923,22583,22077,22337,21316,19645,18939,18663,18273,18523,19042,18873,21301,23368,23952,23714,23331,21198,22595,22557,23068,25140,26743,26150,27758,26747,27696,27610,24842,22674,23637,23430,21127,24699,25965,25676,23323,20614,21021,19160,19233,16714,13547,14613,10902,11870,11481,11273,10630,8475,7764,8158,7982,9788,7764,6143,6779,5986,5354,4877,4386,3825,3242,2779,2213,1865,1527,1335,1062,657,549,392,382,249,176,112,74,319
울산광역시  (3100000000),1155623,1155623,7894,9210,10682,11402,11362,11193,12285,11740,11600,10995,11315,11995,10584,10286,10913,11592,11380,13433,15407,14635,15165,15939,15991,16162,15828,15504,15534,15326,13875,14035,13650,13468,13929,14465,15065,17295,19300,19697,19959,19380,16799,18027,17119,17784,19187,20064,20305,21726,21433,21981,22673,21606,20912,21678,20459,19097,21303,22057,21265,19442,17662,16830,15202,15199,12424,11145,11207,8658,8511,8080,8054,7380,5423,4619,5149,5185,5891,4353,3946,3882,3326,2923,2628,2397,2130,1765,1488,1195,954,848,700,519,361,309,226,197,134,80,60,38,158
세종특별자치시  (3600000000),314126,314126,3595,3997,4420,4626,4380,4502,4988,4761,4715,4468,4546,4413,4044,3666,3701,3567,3236,3143,3233,3146,3057,3053,3095,3299,3410,3266,3631,3745,3614,3861,4231,4405,4743,5046,5406,6132,7201,7138,6927,7152,5972,6465,6140,6015,6294,6101,5611,5725,5140,4784,4717,4036,3727,3813,3694,3345,3816,3986,3826,3413,3160,3184,2886,2984,2555,2004,2255,1636,1796,1801,1592,1551,1227,1083,1169,1166,1472,1208,998,1067,948,845,825,768,677,584,506,403,347,305,242,186,128,108,72,55,47,36,11,6,54
경기도  (4100000000),13077153,13077153,87536,100422,115769,125398,124626,124129,138367,134080,133134,126395,131986,138067,125338,119285,129461,132984,131903,147365,167613,160894,163893,170120,172023,178899,181580,182287,188013,182962,165548,163729,163703,161680,164940,173884,176380,200997,221704,230080,229389,226814,197953,214353,209884,215918,232539,240523,241266,252135,243689,242971,239675,219711,208300,217074,213038,197325,216368,218985,218362,197139,181541,172655,153441,155861,131269,111572,123627,80195,89861,89880,89949,92187,75041,66276,66983,66013,78177,64404,55832,55602,49818,44967,40779,37428,31539,25756,22693,17673,15630,13541,10838,8532,6022,4763,3550,3209,2405,1541,1128,788,3602
