행정구역,2014년_계_총인구수,2014년_계_연령구간인구수,2014년_계_0세,2014년_계_1세,2014년_계_2세,2014년_계_3세,2014년_계_4세,2014년_계_5세,2014년_계_6세,2014년_계_7세,2014년_계_8세,2014년_계_9세,2014년_계_10세,2014년_계_11세,2014년_계_12세,2014년_계_13세,2014년_계_14세,2014년_계_15세,2014년_계_16세,2014년_계_17세,2014년_계_18세,2014년_계_19세,2014년_계_20세,2014년_계_21세,2014년_계_22세,2014년_계_23세,2014년_계_24세,2014년_계_25세,2014년_계_26세,2014년_계_27세,2014년_계_28세,2014년_계_29세,2014년_계_30세,2014년_계_31세,2014년_계_32세,2014년_계_33세,2014년_계_34세,2014년_계_35세,2014년_계_36세,2014년_계_37세,2014년_계_38세,2014년_계_39세,2014년_계_40세,2014년_계_41세,2014년_계_42세,2014년_계_43세,2014년_계_44세,2014년_계_45세,2014년_계_46세,2014년_계_47세,2014년_계_48세,2014년_계_49세,2014년_계_50세,2014년_계_51세,2014년_계_52세,2014년_계_53세,2014년_계_54세,2014년_계_55세,2014년_계_56세,2014년_계_57세,2014년_계_58세,2014년_계_59세,2014년_계_60세,2014년_계_61세,2014년_계_62세,2014년_계_63세,2014년_계_64세,2014년_계_65세,2014년_계_66세,2014년_계_67세,2014년_계_68세,2014년_계_69세,2014년_계_70세,2014년_계_71세,2014년_계_72세,2014년_계_73세,2014년_계_74세,2014년_계_75세,2014년_계_76세,2014년_계_77세,2014년_계_78세,2014년_계_79세,2014년_계_80세,2014년_계_81세,2014년_계_82세,2014년_계_83세,2014년_계_84세,2014년_계_85세,2014년_계_86세,2014년_계_87세,2014년_계_88세,2014년_계_89세,2014년_계_90세,2014년_계_91세,2014년_계_92세,2014년_계_93세,2014년_계_94세,2014년_계_95세,2014년_계_96세,2014년_계_97세,2014년_계_98세,2014년_계_99세,2014년_계_100세 이상
전국  (0000000000),51327916,51327916,419833,438778,488030,474932,472731,447531,468321,495536,449510,436172,474187,493804,495268,559938,639828,620320,640283,671839,685501,707936,713451,709683,724403,701661,639299,630475,625298,617178,627641,652955,662331,749426,823867,842467,839360,829954,724311,781739,765094,793298,862022,897682,898901,947121,922307,928289,931025,866083,820657,856129,837923,797573,885997,920265,928833,857783,783692,776856,701219,726020,617706,533291,588950,429543,457273,462279,458484,462297,367970,328315,350145,351790,432445,354378,312164,319873,286684,263466,244739,230920,202109,170529,154892,125609,113597,101454,85776,71941,53239,44997,34671,34018,26487,18164,13352,9687,6751,5503,3975,2901,15006
서울특별시  (1100000000),10103233,10103233,78101,78973,85889,80892,80514,75678,79615,83620,76662,74048,82076,84629,85274,94743,110145,106792,111418,117950,121655,129831,134410,135441,144014,147248,140066,143388,149081,149143,154371,160789,160949,178753,189600,189980,185009,180177,151163,161742,157258,159035,171002,176138,179369,188637,182233,179622,175499,164275,151370,161324,161040,153999,165944,171945,178049,167356,156193,156295,142734,150605,127542,112417,122221,85679,95094,96354,95181,97469,78719,69544,70375,69173,82269,65960,56411,55563,48596,43781,39642,37078,31228,26357,23831,19570,17768,16395,13972,11857,8967,7394,5977,5950,4606,3327,2602,1852,1329,1157,928,676,4671
부산광역시  (2600000000),3519401,3519401,25165,25811,28779,27781,27278,25002,26289,27907,25090,24665,27073,28801,28975,33320,38182,37726,39761,41831,44739,46361,48311,48923,51306,49791,44665,45056,42994,41749,41561,42541,43447,48833,53481,56073,56048,54505,46630,49088,46723,49988,53833,56278,56753,59612,59078,59856,60787,58391,54700,57199,56351,56325,64741,68809,70999,66161,62464,63575,58485,62487,52445,46357,49956,39998,39396,40213,39742,38077,30015,25606,28979,28917,32500,27203,24205,23407,19978,18438,16647,15300,13308,11006,10079,8373,7001,6450,5660,4732,3298,2821,2081,1930,1483,996,718,510,368,293,217,158,1407
대구광역시  (2700000000),2493264,2493264,18668,19510,21782,21270,21171,20008,21323,23012,20825,20955,22720,24708,24396,28473,32838,32082,32828,35423,36207,37421,37206,36814,37264,35582,31755,31427,28864,28274,28119,28631,28544,32810,36348,37755,37610,37726,32437,35979,35780,38248,40938,43186,44400,46207,45636,46529,47887,45472,41873,43960,43067,40788,45940,47666,45464,44957,37340,38887,35590,35982,30005,28145,30615,23350,23050,23962,23808,22150,15886,14437,17074,17776,20380,16757,14778,15167,13090,12083,11037,10426,9300,7583,7063,5560,4645,3943,3620,2969,2082,1840,1344,1163,967,662,491,336,236,194,130,97,501
인천광역시  (2800000000),2902608,2902608,25087,26074,29028,28340,27897,26469,27283,29062,25867,25049,26753,28373,27820,31553,35743,34914,36010,38399,39365,40938,41815,42878,43918,42975,39150,38338,37499,36561,36898,38359,38794,44192,48637,50433,49846,49514,43131,46042,44141,46530,49724,52160,52329,54219,53225,53768,54422,50518,48602,52103,51708,48813,54240,54908,55096,49951,46061,44000,38343,39180,32606,27381,30005,19530,22090,22708,22025,22636,18315,15693,15990,16116,19111,15574,13307,13813,12659,11275,10671,10038,8662,7457,6771,5520,5154,4671,3896,3256,2441,2123,1727,1615,1168,895,653,473,309,289,181,141,618
광주광역시  (2900000000),1475884,1475884,12306,13024,15038,14698,14994,14420,15185,16330,14777,14384,15838,17162,16994,19512,22593,21808,22500,23696,23564,24004,23569,23130,23048,21165,18723,17893,17349,17080,17367,18216,18914,21702,23935,23837,23865,24380,21311,23453,23232,23191,26191,26416,26515,27555,27267,25839,27212,24804,24157,24134,22622,22742,22707,23228,24968,22485,20035,19706,16677,17666,14641,12601,14187,11509,12011,12542,11563,12194,9753,8643,8662,8020,11101,8770,7476,7363,6707,6172,5353,5318,4744,3836,3439,2892,2803,2532,1960,1699,1246,1081,746,839,622,450,329,220,180,110,97,60,300
대전광역시  (3000000000),1531809,1531809,13389,14171,15557,15288,15070,14404,15320,16279,14809,14375,15807,16323,16261,18271,20729,20212,21004,22073,22470,23046,23083,22640,23353,22558,20439,19842,19627,19133,19345,20011,20114,22699,24865,25417,25245,24871,22394,23991,23799,24301,26316,28019,27311,28984,27986,28896,28982,26175,23969,24962,24821,22388,26231,27627,27118,24654,21826,22305,20342,20336,17719,14385,15457,11485,12601,12215,11929,11292,9032,8263,8728,8555,10662,8421,6894,7538,6819,6134,5812,5363,4778,4117,3698,3002,2666,2319,2079,1814,1173,1067,856,855,589,407,305,212,170,139,100,66,260
울산광역시  (3100000000),1166377,1166377,11213,11436,12473,11977,11806,11219,11526,12092,10711,10407,10999,11728,11608,13602,15648,15568,16188,17281,17574,17864,17802,17686,17413,16859,14844,14822,14130,13808,14134,14639,15207,17324,19513,20031,20307,19637,17076,18263,17322,17984,19558,20412,20752,22050,21936,22519,23216,22117,21441,22237,21071,19707,22033,22860,22074,20302,18466,17686,15984,16027,13163,11698,11864,9174,9059,8505,8481,7808,5819,4971,5575,5629,6504,4860,4480,4424,3857,3456,3119,2881,2678,2320,2039,1653,1421,1338,1158,960,678,602,479,415,331,215,168,111,65,54,38,30,128
세종특별자치시  (3600000000),156125,156125,1672,1857,2096,2084,2122,1952,2151,2022,1846,1722,1826,1799,1689,1764,1852,1733,1759,1542,1507,1684,1735,1670,1867,1855,1650,1633,1680,1709,1770,1963,2099,2328,2864,2937,2999,3129,2656,2927,2857,2852,3108,3177,2888,3117,2753,2680,2578,2235,2053,2168,2107,1912,2304,2344,2397,2121,1934,1944,1794,1924,1657,1358,1502,1121,1313,1282,1185,1146,933,872,1004,963,1308,1072,947,1008,936,835,830,785,719,637,551,464,415,366,326,245,197,161,128,117,110,81,29,25,29,13,18,6,34
경기도  (4100000000),12357830,12357830,109299,116253,131017,128969,129204,123061,129041,135512,123654,117963,127965,131947,130522,146106,165773,158644,161828,167703,168868,174525,174462,172839,176028,170695,155028,151635,151650,148179,150074,157840,160257,183063,203831,212919,213906,213008,187511,205132,202472,209452,227040,235770,236956,248455,240353,239945,236644,217102,206313,214789,210228,194671,214056,216388,215523,194174,178245,169287,150456,153005,128810,109091,121168,78704,88377,88398,88842,91626,75090,66852,68121,67647,81217,67853,59332,60080,54757,50328,46626,43739,37796,31902,28777,23253,21308,19336,16103,13427,10324,8619,6797,6514,5184,3595,2583,1928,1304,1095,763,570,2759
