"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구"
"서울특별시  (1100000000)","9,668,465","4,417,954","          2.19"
"서울특별시 종로구 (1111000000)","149,384","75,003","          1.99"
"서울특별시 중구 (1114000000)","125,240","63,686","          1.97"
"서울특별시 용산구 (1117000000)","230,040","113,093","          2.03"
"서울특별시 성동구 (1120000000)","293,556","135,870","          2.16"
"서울특별시 광진구 (1121500000)","346,682","167,427","          2.07"
"서울특별시 동대문구 (1123000000)","342,837","167,598","          2.05"
"서울특별시 중랑구 (1126000000)","394,702","185,920","          2.12"
"서울특별시 성북구 (1129000000)","437,153","195,396","          2.24"
"서울특별시 강북구 (1130500000)","308,055","145,896","          2.11"
"서울특별시 도봉구 (1132000000)","325,257","139,114","          2.34"
"서울특별시 노원구 (1135000000)","523,037","218,270","          2.40"
"서울특별시 은평구 (1138000000)","479,835","213,914","          2.24"
"서울특별시 서대문구 (1141000000)","312,173","144,838","          2.16"
"서울특별시 마포구 (1144000000)","371,890","178,482","          2.08"
"서울특별시 양천구 (1147000000)","454,251","180,633","          2.51"
"서울특별시 강서구 (1150000000)","580,185","266,982","          2.17"
"서울특별시 구로구 (1153000000)","404,408","180,531","          2.24"
"서울특별시 금천구 (1154500000)","231,733","114,715","          2.02"
"서울특별시 영등포구 (1156000000)","379,480","184,714","          2.05"
"서울특별시 동작구 (1159000000)","391,220","184,229","          2.12"
"서울특별시 관악구 (1162000000)","495,060","274,811","          1.80"
"서울특별시 서초구 (1165000000)","425,126","173,502","          2.45"
"서울특별시 강남구 (1168000000)","539,231","234,872","          2.30"
"서울특별시 송파구 (1171000000)","667,960","281,959","          2.37"
"서울특별시 강동구 (1174000000)","459,970","196,499","          2.34"
