행정구역,2017년_계_총인구수,2017년_계_연령구간인구수,2017년_계_0세,2017년_계_1세,2017년_계_2세,2017년_계_3세,2017년_계_4세,2017년_계_5세,2017년_계_6세,2017년_계_7세,2017년_계_8세,2017년_계_9세,2017년_계_10세,2017년_계_11세,2017년_계_12세,2017년_계_13세,2017년_계_14세,2017년_계_15세,2017년_계_16세,2017년_계_17세,2017년_계_18세,2017년_계_19세,2017년_계_20세,2017년_계_21세,2017년_계_22세,2017년_계_23세,2017년_계_24세,2017년_계_25세,2017년_계_26세,2017년_계_27세,2017년_계_28세,2017년_계_29세,2017년_계_30세,2017년_계_31세,2017년_계_32세,2017년_계_33세,2017년_계_34세,2017년_계_35세,2017년_계_36세,2017년_계_37세,2017년_계_38세,2017년_계_39세,2017년_계_40세,2017년_계_41세,2017년_계_42세,2017년_계_43세,2017년_계_44세,2017년_계_45세,2017년_계_46세,2017년_계_47세,2017년_계_48세,2017년_계_49세,2017년_계_50세,2017년_계_51세,2017년_계_52세,2017년_계_53세,2017년_계_54세,2017년_계_55세,2017년_계_56세,2017년_계_57세,2017년_계_58세,2017년_계_59세,2017년_계_60세,2017년_계_61세,2017년_계_62세,2017년_계_63세,2017년_계_64세,2017년_계_65세,2017년_계_66세,2017년_계_67세,2017년_계_68세,2017년_계_69세,2017년_계_70세,2017년_계_71세,2017년_계_72세,2017년_계_73세,2017년_계_74세,2017년_계_75세,2017년_계_76세,2017년_계_77세,2017년_계_78세,2017년_계_79세,2017년_계_80세,2017년_계_81세,2017년_계_82세,2017년_계_83세,2017년_계_84세,2017년_계_85세,2017년_계_86세,2017년_계_87세,2017년_계_88세,2017년_계_89세,2017년_계_90세,2017년_계_91세,2017년_계_92세,2017년_계_93세,2017년_계_94세,2017년_계_95세,2017년_계_96세,2017년_계_97세,2017년_계_98세,2017년_계_99세,2017년_계_100세 이상
전국  (0000000000),51778544,51778544,345786,409814,442943,439700,440872,489401,476061,473580,448183,468858,496041,449954,436496,474366,493910,495262,559804,639416,619744,639432,670955,685001,707489,713246,709736,724578,702166,640303,631234,626259,618127,628300,653497,662636,749385,823495,841840,838693,829177,723499,780568,763958,791817,859972,895428,896361,944179,919109,924665,926695,861873,815855,850770,832633,792265,879476,912277,920380,849219,775456,767925,692708,716331,608431,524848,578745,421321,448083,451830,447042,449247,356256,316490,335832,335307,408443,332373,290050,294405,260703,236440,216390,200619,172333,142364,126316,99951,87556,75834,61796,49612,34909,28262,20684,19769,14616,9619,6922,4832,3305,17850
서울특별시  (1100000000),9857426,9857426,61253,70532,74322,72482,71688,78941,75386,75929,71772,76157,80577,74502,72380,80264,83081,83791,93326,108584,105344,112807,120957,125632,134735,143930,149420,159845,161550,150999,149562,150485,146573,148015,150838,149335,163855,173092,173138,169187,165335,139821,150481,147416,150031,162292,168414,171738,181275,175113,172711,168518,157576,144996,154444,153733,146916,158349,163134,168880,158018,147497,147029,133804,141178,119297,105263,114400,80233,89224,89871,88753,90591,73185,64285,64933,63515,74898,60021,50860,49861,43160,38593,34377,31713,26206,21753,19206,15377,13515,12208,10165,8200,5892,4695,3589,3501,2569,1851,1436,1010,736,5519
부산광역시  (2600000000),3470653,3470653,20494,24546,26663,26164,25913,28685,27748,27241,25022,26256,27829,25013,24646,27049,28719,28824,33157,37918,37434,39455,41907,44966,46950,48615,48657,49413,47343,41735,41886,40319,39039,39207,40312,41524,47131,51805,54551,54669,53544,45842,48261,46132,49327,53224,55663,56281,58769,58427,59136,59832,57500,53538,55908,55151,54854,62869,66668,68830,64035,60191,61251,56284,60042,50329,44433,47883,38445,37723,38417,37810,36283,28573,24263,27296,27136,30171,25039,22085,21200,17857,16261,14419,13027,11098,8932,8020,6467,5232,4720,3977,3250,2083,1736,1226,1072,819,527,389,280,197,1614
대구광역시  (2700000000),2475231,2475231,15444,18625,19884,19906,19915,22224,21713,21577,20326,21429,23134,21039,21101,22876,24824,24314,28237,32571,31696,31964,34405,35305,36578,35928,35041,35113,33380,29798,29349,27315,27069,27200,28066,28017,32586,36197,37381,37416,37667,32416,36024,35868,38000,40764,42879,44009,45768,45052,45731,47051,44625,40923,42880,42008,39675,44571,46240,44122,43473,36160,37657,34425,34796,28909,27136,29465,22441,22198,23041,22850,21255,15261,13751,16248,16818,19094,15604,13599,13867,11797,10769,9688,8984,7841,6217,5642,4405,3530,2905,2476,1971,1330,1135,745,614,469,340,224,174,96,615
인천광역시  (2800000000),2948542,2948542,19907,23915,26124,25940,25988,28679,28145,27732,26308,27187,28953,25780,25055,26866,28387,27955,31692,35859,35119,35897,38515,39744,41413,42650,43502,44791,43628,39622,38327,37619,36625,37121,38797,39289,44606,49267,50876,50171,49715,43198,46037,44116,46656,49695,52167,52435,54396,53235,53663,54184,50406,48254,51773,51260,48538,53694,54359,54290,49157,45370,43326,37925,38631,31994,26993,29615,19284,21789,22291,21724,22133,17931,15286,15489,15495,18393,14851,12606,12937,11648,10157,9663,8938,7525,6421,5632,4535,4073,3581,2904,2337,1689,1397,1088,928,659,497,337,235,165,791
광주광역시  (2900000000),1463770,1463770,9793,11824,12910,13298,13448,15210,14924,15110,14421,14935,16231,14732,14382,15673,17044,16897,19326,22259,21435,21828,22781,22677,23374,22255,21297,21213,19492,17254,16831,16436,16450,16736,17535,18389,21093,23489,23425,23437,23973,20995,23042,22983,22842,25805,26072,26234,27250,26742,25453,26781,24386,23592,23583,22087,22145,22128,22465,24267,21870,19412,19177,16177,17155,14231,12217,13742,11134,11592,12121,11129,11776,9351,8278,8254,7598,10551,8238,6858,6754,6086,5536,4704,4578,4057,3223,2797,2270,2157,1869,1365,1152,818,661,435,502,342,238,158,116,77,345
대전광역시  (3000000000),1502227,1502227,10424,12438,13507,13335,13497,14812,14634,14378,13697,14496,15502,14111,13769,15212,15783,15771,17724,20117,19645,20371,21679,22095,22912,22769,22159,22561,21627,19887,19232,19052,18675,18914,19367,19255,21739,23814,24348,24105,23668,21399,22837,22786,23252,25342,27014,26421,28048,27114,27922,27969,25197,23035,23964,23769,21392,25144,26308,26000,23574,20914,21363,19508,19489,16949,13769,14784,11026,12072,11642,11442,10781,8598,7888,8320,8117,9997,7958,6350,7015,6220,5578,5112,4616,4061,3482,2988,2402,2086,1750,1527,1261,770,668,491,482,309,233,147,103,77,314
울산광역시  (3100000000),1165132,1165132,9047,10758,11527,11460,11265,12398,11857,11670,11066,11393,12027,10622,10351,10966,11625,11468,13471,15529,15357,15478,16343,16580,16926,16491,16162,16122,15905,14201,14313,13923,13675,14041,14683,15268,17386,19465,19909,20145,19533,16960,18137,17222,17868,19283,20231,20446,21828,21627,22168,22885,21814,21102,21870,20598,19334,21487,22316,21549,19681,17891,17104,15370,15415,12627,11280,11403,8799,8637,8184,8165,7490,5520,4710,5259,5300,6056,4494,4102,4037,3476,3085,2783,2551,2302,1905,1651,1325,1060,963,805,637,444,366,281,243,174,110,80,51,32,153
세종특별자치시  (3600000000),280100,280100,3422,3850,4115,3846,3993,4338,4229,4248,4040,4091,3988,3661,3289,3454,3301,2965,2987,3017,2699,2702,2716,2707,2901,3021,2865,3134,3207,3018,3169,3528,3651,3959,4318,4604,5376,6286,6282,6166,6365,5400,5817,5560,5505,5785,5603,5157,5291,4665,4425,4312,3709,3390,3469,3331,3093,3473,3646,3530,3145,2885,2909,2602,2785,2387,1867,2088,1527,1716,1712,1507,1499,1181,1070,1156,1134,1452,1183,1015,1047,973,874,854,787,712,599,538,429,377,325,273,217,149,118,84,68,57,46,13,10,12,49
경기도  (4100000000),12873895,12873895,92366,111697,122017,121953,122070,135985,132522,131877,125113,130900,137072,124686,118632,128844,132595,131359,146849,166841,159741,164017,169334,170717,176835,179062,179031,184250,179455,162869,160248,159723,157194,160011,168696,171165,195428,215990,224594,224461,222969,194481,211406,207291,213832,230642,238546,239627,250401,242032,241733,238450,218651,207444,216017,212026,196300,215359,217964,217415,196184,180396,171545,152573,155208,130556,110813,122889,79803,89498,89684,89808,92178,75163,66568,67406,66541,79071,65354,56875,56859,51299,46421,42418,39286,33260,27481,24374,19206,17055,15065,12133,9682,7114,5691,4268,3927,3009,1972,1437,999,672,3369
