"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구"
"서울특별시  (1100000000)","9,857,426","4,220,082","          2.34"
"서울특별시 종로구 (1111000000)","154,770","73,594","          2.10"
"서울특별시 중구 (1114000000)","125,709","60,412","          2.08"
"서울특별시 용산구 (1117000000)","229,161","107,666","          2.13"
"서울특별시 성동구 (1120000000)","304,808","132,902","          2.29"
"서울특별시 광진구 (1121500000)","357,703","160,798","          2.22"
"서울특별시 동대문구 (1123000000)","350,647","159,938","          2.19"
"서울특별시 중랑구 (1126000000)","408,226","179,132","          2.28"
"서울특별시 성북구 (1129000000)","444,055","187,112","          2.37"
"서울특별시 강북구 (1130500000)","324,479","142,533","          2.28"
"서울특별시 도봉구 (1132000000)","344,166","137,378","          2.51"
"서울특별시 노원구 (1135000000)","554,403","217,619","          2.55"
"서울특별시 은평구 (1138000000)","486,794","202,839","          2.40"
"서울특별시 서대문구 (1141000000)","312,800","137,266","          2.28"
"서울특별시 마포구 (1144000000)","374,915","169,408","          2.21"
"서울특별시 양천구 (1147000000)","471,154","176,649","          2.67"
"서울특별시 강서구 (1150000000)","601,691","254,257","          2.37"
"서울특별시 구로구 (1153000000)","410,742","171,570","          2.39"
"서울특별시 금천구 (1154500000)","235,154","106,066","          2.22"
"서울특별시 영등포구 (1156000000)","368,550","167,355","          2.20"
"서울특별시 동작구 (1159000000)","396,217","172,995","          2.29"
"서울특별시 관악구 (1162000000)","503,297","255,352","          1.97"
"서울특별시 서초구 (1165000000)","441,102","173,594","          2.54"
"서울특별시 강남구 (1168000000)","556,164","231,612","          2.40"
"서울특별시 송파구 (1171000000)","664,496","264,628","          2.51"
"서울특별시 강동구 (1174000000)","436,223","177,407","          2.46"
