행정구역,2016년_계_총인구수,2016년_계_연령구간인구수,2016년_계_0세,2016년_계_1세,2016년_계_2세,2016년_계_3세,2016년_계_4세,2016년_계_5세,2016년_계_6세,2016년_계_7세,2016년_계_8세,2016년_계_9세,2016년_계_10세,2016년_계_11세,2016년_계_12세,2016년_계_13세,2016년_계_14세,2016년_계_15세,2016년_계_16세,2016년_계_17세,2016년_계_18세,2016년_계_19세,2016년_계_20세,2016년_계_21세,2016년_계_22세,2016년_계_23세,2016년_계_24세,2016년_계_25세,2016년_계_26세,2016년_계_27세,2016년_계_28세,2016년_계_29세,2016년_계_30세,2016년_계_31세,2016년_계_32세,2016년_계_33세,2016년_계_34세,2016년_계_35세,2016년_계_36세,2016년_계_37세,2016년_계_38세,2016년_계_39세,2016년_계_40세,2016년_계_41세,2016년_계_42세,2016년_계_43세,2016년_계_44세,2016년_계_45세,2016년_계_46세,2016년_계_47세,2016년_계_48세,2016년_계_49세,2016년_계_50세,2016년_계_51세,2016년_계_52세,2016년_계_53세,2016년_계_54세,2016년_계_55세,2016년_계_56세,2016년_계_57세,2016년_계_58세,2016년_계_59세,2016년_계_60세,2016년_계_61세,2016년_계_62세,2016년_계_63세,2016년_계_64세,2016년_계_65세,2016년_계_66세,2016년_계_67세,2016년_계_68세,2016년_계_69세,2016년_계_70세,2016년_계_71세,2016년_계_72세,2016년_계_73세,2016년_계_74세,2016년_계_75세,2016년_계_76세,2016년_계_77세,2016년_계_78세,2016년_계_79세,2016년_계_80세,2016년_계_81세,2016년_계_82세,2016년_계_83세,2016년_계_84세,2016년_계_85세,2016년_계_86세,2016년_계_87세,2016년_계_88세,2016년_계_89세,2016년_계_90세,2016년_계_91세,2016년_계_92세,2016년_계_93세,2016년_계_94세,2016년_계_95세,2016년_계_96세,2016년_계_97세,2016년_계_98세,2016년_계_99세,2016년_계_100세 이상
전국  (0000000000),51696216,51696216,393674,441720,439207,440530,489140,475817,473401,448049,468712,495918,449851,436439,474372,493970,495347,560014,639783,620107,639836,671319,685246,707800,713499,709775,724741,702099,640053,631162,626102,617951,628249,653447,662753,749557,823862,842279,839113,829685,724012,781183,764577,792564,860953,896518,897631,945524,920661,926343,928518,863764,817907,853001,834857,794455,882172,915541,923841,852740,778724,771423,696051,720230,612012,528168,582615,424251,451649,455822,451417,454206,360660,320820,341109,341431,417209,340356,298017,303630,269899,245988,226441,211291,182857,152230,136311,108646,96441,84464,69702,56911,40825,33432,24961,24106,18164,12132,8766,6199,4286,3461,17562
서울특별시  (1100000000),9930616,9930616,70798,76955,74874,73373,80575,76864,77045,72626,76968,81236,75032,72584,80747,83494,83929,93942,109021,105498,110501,119457,124384,131324,137974,143570,153476,156688,148170,148420,150832,147863,150266,153975,152964,168317,177985,177958,173622,169579,142893,153415,150185,152306,164654,170558,174048,183494,177412,174932,170766,159817,147088,156684,156280,149347,161060,166057,172023,161051,150331,150116,136764,144313,121914,107645,116678,81961,91255,92072,90835,92833,75089,65982,66730,65391,77388,62084,52772,51775,44952,40378,36169,33524,27914,23338,20704,16809,14956,13516,11429,9357,6907,5522,4324,4229,3171,2312,1793,1239,913,801,5475
부산광역시  (2600000000),3498529,3498529,23906,26766,26409,26100,28863,27971,27394,25249,26417,28012,25147,24762,27141,28852,28991,33282,38088,37607,39588,41752,44836,46832,48753,49096,50489,48356,42718,42764,41303,40052,40009,41212,42126,47864,52528,55259,55434,54109,46250,48725,46478,49745,53549,56052,56591,59226,58903,59495,60354,57935,54032,56479,55649,55475,63568,67539,69709,64824,61010,62115,57100,60930,51077,45059,48559,38947,38288,39045,38503,36943,29070,24696,27892,27727,30984,25791,22829,21997,18619,16978,15191,13830,11900,9641,8788,7099,5847,5319,4514,3704,2484,2086,1497,1315,1002,661,480,343,248,221,1585
대구광역시  (2700000000),2484557,2484557,17761,19725,19761,19796,22155,21558,21519,20278,21385,23098,20941,21064,22841,24851,24352,28463,32653,31809,32486,34667,35449,36992,36553,35763,35874,34076,30375,29819,27659,27367,27395,28200,28185,32658,36202,37516,37474,37654,32449,36035,35877,38170,40875,43017,44194,45964,45323,46057,47362,44983,41253,43252,42427,40075,45069,46752,44594,44025,36641,38127,34839,35264,29333,27486,29839,22773,22500,23386,23192,21570,15515,13978,16546,17142,19558,16005,13955,14316,12276,11244,10177,9494,8379,6687,6124,4792,3876,3244,2858,2303,1595,1323,922,789,608,430,294,208,132,119,591
인천광역시  (2800000000),2943069,2943069,22961,26208,26160,26158,28893,28318,27885,26525,27298,29104,25818,25086,26873,28435,27961,31716,35893,35073,36176,38462,39540,41369,42292,43234,44492,43496,39467,38452,37585,36695,37112,38838,39341,44594,49285,51118,50383,49887,43396,46189,44312,46748,49791,52323,52531,54395,53288,53944,54331,50511,48404,51966,51502,48770,53994,54560,54640,49482,45619,43650,38102,38900,32300,27217,29766,19366,21931,22478,21876,22362,18081,15432,15695,15757,18702,15096,12917,13265,12064,10600,10082,9311,7951,6811,6044,4851,4450,3960,3254,2642,1933,1636,1284,1128,818,615,431,299,205,174,754
광주광역시  (2900000000),1469214,1469214,11236,12628,13096,13246,15159,14690,15177,14492,14972,16261,14717,14362,15791,17073,16873,19442,22355,21561,22344,23086,22965,23785,22998,21884,21702,19931,17712,17152,16616,16657,16913,17664,18517,21206,23613,23472,23567,24102,21122,23219,23016,22970,25929,26164,26356,27422,26964,25634,26922,24576,23818,23811,22271,22375,22345,22737,24516,22094,19614,19333,16366,17331,14398,12375,13947,11262,11751,12272,11259,11907,9465,8412,8404,7742,10742,8428,7090,6950,6290,5771,4949,4805,4307,3424,3042,2463,2378,2102,1556,1344,966,780,524,595,412,296,210,146,104,69,355
대전광역시  (3000000000),1514370,1514370,12097,13752,13582,13759,15022,14829,14639,13908,14754,15734,14363,13918,15416,15930,15935,17943,20279,19834,20602,21696,22150,23013,22899,22412,22731,21900,20025,19388,19333,18945,19213,19663,19574,22164,24229,24628,24494,24002,21722,23190,23015,23620,25685,27357,26663,28356,27456,28223,28330,25560,23354,24367,24117,21728,25523,26758,26385,23918,21227,21734,19796,19770,17217,13963,15013,11175,12269,11859,11620,10968,8719,8009,8472,8283,10233,8157,6539,7210,6422,5731,5358,4905,4324,3671,3269,2611,2274,1937,1711,1424,899,806,597,598,409,284,191,146,107,73,308
울산광역시  (3100000000),1172304,1172304,10520,11646,11538,11391,12472,11901,11753,11147,11476,12077,10679,10379,11056,11713,11528,13577,15586,15471,16066,16657,16896,17398,17156,16807,16677,16409,14597,14702,14178,13884,14275,14861,15392,17548,19613,20106,20298,19659,17061,18331,17336,17966,19413,20334,20612,21994,21837,22300,23079,21964,21254,22061,20812,19472,21723,22543,21767,19935,18162,17366,15632,15657,12806,11435,11595,8926,8776,8277,8275,7601,5632,4808,5391,5431,6202,4640,4249,4191,3613,3204,2907,2668,2427,2039,1812,1417,1186,1102,927,729,520,451,325,293,224,142,101,71,38,35,138
세종특별자치시  (3600000000),243048,243048,3219,3448,3258,3397,3722,3627,3682,3530,3551,3477,3155,2905,3027,2948,2641,2638,2773,2460,2273,2305,2340,2530,2612,2487,2795,2735,2584,2633,2849,2958,3200,3566,3802,4358,5267,5286,5298,5486,4641,5047,4906,4788,5070,4922,4607,4775,4115,3907,3824,3274,2995,3108,3009,2712,3103,3270,3169,2844,2603,2627,2360,2536,2177,1734,1906,1422,1608,1566,1448,1402,1114,1018,1116,1096,1419,1155,993,1046,960,876,842,784,710,622,543,447,401,343,300,227,169,135,103,89,80,57,18,16,13,10,49
경기도  (4100000000),12716780,12716780,104099,119264,119772,120371,134576,131257,130885,124285,130186,136415,124326,118363,128505,132368,131177,146505,166378,159345,162892,169656,170397,175574,177371,176890,181250,176716,160462,157570,157033,153987,156560,165037,167692,191453,211984,220801,221040,219742,192287,209350,205735,212488,229717,237621,238733,249826,241261,241126,237855,218168,207290,215673,211392,195612,214848,217681,216769,195715,179932,171046,152144,154680,130194,110480,122498,79621,89296,89383,89719,92205,75344,66906,67803,67094,79996,66422,57844,58088,52661,47991,43957,40989,34980,29128,26041,20680,18550,16593,13469,10953,8195,6648,5083,4755,3714,2467,1771,1269,884,671,3305
강원도  (4200000000),1550806,1550806,9810,11100,10999,11379,12931,12810,12935,12534,12855,14028,12703,12936,13888,14338,15063,16776,19205,18725,19388,20379,20435,20773,20839,20737,20888,18807,16504,15620,15403,14863,15137,15773,15587,18162,19982,20235,20516,20510,19258,20247,20211,21530,23949,25343,24605,25951,25768,26687,27326,25002,25096,24593,24938,24732,28261,30139,30285,28986,27258,27439,24414,24630,21995,18301,22157,12530,13641,13976,14996,15692,13618,13443,13829,13739,15991,14071,13183,12852,11822,10234,9524,8497,7168,6010,5117,4368,4191,3511,3003,2399,1818,1613,1226,1112,758,516,375,302,193,178,656
충청북도  (4300000000),1591625,1591625,12454,13491,13393,13608,15097,14818,14795,13968,14498,15423,13866,13573,14772,15131,15632,17686,19903,19574,20362,21296,21559,21925,21608,21492,21127,19709,17969,17647,17507,17591,17936,18480,19104,21033,23554,23232,23208,23235,20523,22285,22254,22970,25447,26556,25081,26952,26523,28786,28412,26656,25669,26534,25030,22934,28205,30497,28315,26777,25333,25540,22958,22688,19891,17238,19625,12965,13316,13676,13894,13985,11080,10917,11509,11764,15048,12140,10501,11599,10052,9507,9059,8577,7274,6199,5184,3960,3719,3202,2584,2130,1490,1270,905,818,678,463,283,208,153,110,471
충청남도  (4400000000),2096727,2096727,16934,18931,18770,19255,21162,20767,20517,19457,20223,21190,19250,18439,19699,20066,20133,23028,25790,24656,25439,25859,26243,26249,25917,25419,25729,24056,22760,22631,23399,23895,24249,25049,25500,29397,32896,33108,32900,31979,28853,30604,30148,30459,33448,34899,32869,36363,33886,35494,35555,32600,29755,32283,32598,29032,34016,36969,36768,33029,29971,29701,27401,29449,25506,20760,23262,18654,20562,20396,20037,19798,15253,13704,15909,15743,21340,16747,14254,16458,15270,14131,13792,13050,11346,9536,8887,6550,5564,4916,4206,3239,2381,1943,1418,1322,1059,693,462,350,227,173,738
전라북도  (4500000000),1864791,1864791,12433,14370,14538,15037,16724,16821,16811,15929,16809,17900,16250,16340,17580,18438,19160,21647,24536,23760,24920,24990,25750,26189,25572,23914,23242,21462,19175,18416,18025,17591,18127,18817,19551,21896,24290,24588,25064,24866,23040,25412,24713,25742,29740,30170,30028,32265,30827,30580,32089,29430,29119,29719,28450,27499,30729,32306,35007,30967,27166,28313,25512,27660,24345,19543,21689,18674,21387,19726,18873,21284,16782,13916,14570,14773,22347,16820,14037,15493,14147,13071,12245,11984,10402,8964,7703,6306,5445,4709,4085,3476,2208,1557,1263,1366,1076,590,474,352,230,171,697
전라남도  (4600000000),1903914,1903914,13591,15035,14702,15151,16837,16594,16290,15400,15974,17162,15556,15227,16551,17326,18103,20672,23954,23519,24007,24979,24864,25373,24027,22286,21830,19890,17629,16976,16693,16855,17353,18262,19007,21721,24178,23798,24289,24678,22023,24183,23583,24276,27061,28525,28927,30884,30436,30158,32079,30311,30385,30908,29761,30398,31198,33135,36069,32968,29994,29672,25828,27754,24188,20023,23932,21205,21700,22035,21183,23328,18339,17348,17362,17587,25584,21123,19384,19143,17857,16263,14387,13517,12084,9940,9024,7312,7225,6047,4386,3448,2557,2076,1505,1797,1276,743,579,372,254,187,759
경상북도  (4700000000),2700398,2700398,19987,22382,21724,21892,24074,23020,22388,21269,22183,23353,21094,20826,22027,23185,23621,27143,31574,30747,31272,33169,33513,34346,33955,32766,32600,30578,27926,27529,27248,27842,28118,29012,29316,33326,37536,38344,37909,37373,32830,35829,35037,37423,40292,42133,42485,44014,44155,45291,47401,43716,42731,44485,43464,42520,48257,51211,50315,50032,42807,44185,41568,41722,36566,34387,36958,28946,28339,29837,29783,28145,19737,18440,22549,25001,30342,23840,22148,24077,20585,19049,18158,17234,15207,12277,11407,8840,7709,6375,5539,4656,3194,2700,1927,1742,1350,881,645,432,293,222,811
경상남도  (4800000000),3373871,3373871,26483,30104,30549,30486,33965,33278,32945,30937,32530,34199,30279,29264,31766,32734,33255,37786,42947,42195,43201,44235,45229,45238,44180,42531,41562,39547,35317,35008,34178,34578,35865,38012,39671,45555,51105,53076,53831,52611,47098,49423,48277,51409,55225,59081,57423,60975,60671,62003,61260,58531,54935,56739,53000,51146,59957,62903,62997,56204,51996,51626,47031,48453,41134,34862,39002,30715,29798,30722,30338,28801,22996,19592,22981,22962,26809,23549,21547,21370,18838,17719,16774,15350,13745,11415,10624,8626,7282,6309,4995,4117,2989,2462,1736,1487,1120,688,499,309,204,171,639
제주특별자치도  (5000000000),641597,641597,5385,5915,6082,6131,6913,6694,6741,6515,6633,7249,6675,6411,6692,7088,6993,7768,8848,8273,8319,8674,8696,8890,8793,8487,8277,7743,6663,6435,6261,6328,6521,7026,7424,8305,9615,9754,9786,10213,8566,9699,9494,9954,11108,11463,11878,12668,11836,11726,11573,10730,10729,10339,10157,10628,10316,10484,10513,9889,9060,8833,8236,8493,6971,5660,6189,5109,5232,5116,5586,5382,4826,4219,4351,4199,4524,4288,3775,3800,3471,3241,2870,2772,2739,2528,1998,1515,1388,1279,886,763,520,424,322,671,409,294,160,137,88,76,231
