행정구역,2019년_계_총인구수,2019년_계_연령구간인구수,2019년_계_0세,2019년_계_1세,2019년_계_2세,2019년_계_3세,2019년_계_4세,2019년_계_5세,2019년_계_6세,2019년_계_7세,2019년_계_8세,2019년_계_9세,2019년_계_10세,2019년_계_11세,2019년_계_12세,2019년_계_13세,2019년_계_14세,2019년_계_15세,2019년_계_16세,2019년_계_17세,2019년_계_18세,2019년_계_19세,2019년_계_20세,2019년_계_21세,2019년_계_22세,2019년_계_23세,2019년_계_24세,2019년_계_25세,2019년_계_26세,2019년_계_27세,2019년_계_28세,2019년_계_29세,2019년_계_30세,2019년_계_31세,2019년_계_32세,2019년_계_33세,2019년_계_34세,2019년_계_35세,2019년_계_36세,2019년_계_37세,2019년_계_38세,2019년_계_39세,2019년_계_40세,2019년_계_41세,2019년_계_42세,2019년_계_43세,2019년_계_44세,2019년_계_45세,2019년_계_46세,2019년_계_47세,2019년_계_48세,2019년_계_49세,2019년_계_50세,2019년_계_51세,2019년_계_52세,2019년_계_53세,2019년_계_54세,2019년_계_55세,2019년_계_56세,2019년_계_57세,2019년_계_58세,2019년_계_59세,2019년_계_60세,2019년_계_61세,2019년_계_62세,2019년_계_63세,2019년_계_64세,2019년_계_65세,2019년_계_66세,2019년_계_67세,2019년_계_68세,2019년_계_69세,2019년_계_70세,2019년_계_71세,2019년_계_72세,2019년_계_73세,2019년_계_74세,2019년_계_75세,2019년_계_76세,2019년_계_77세,2019년_계_78세,2019년_계_79세,2019년_계_80세,2019년_계_81세,2019년_계_82세,2019년_계_83세,2019년_계_84세,2019년_계_85세,2019년_계_86세,2019년_계_87세,2019년_계_88세,2019년_계_89세,2019년_계_90세,2019년_계_91세,2019년_계_92세,2019년_계_93세,2019년_계_94세,2019년_계_95세,2019년_계_96세,2019년_계_97세,2019년_계_98세,2019년_계_99세,2019년_계_100세 이상
전국  (0000000000),51849861,51849861,295132,330970,362900,412018,444102,440483,441362,489772,476358,473817,448401,469014,496146,449979,436418,474123,493389,494523,558704,638313,619035,638851,670285,684354,707120,712882,709730,724896,702371,640832,631550,626485,618427,628407,653361,662430,748919,822868,840885,837692,828035,722387,779215,762470,790085,857823,892843,893588,941096,915688,921051,922768,857909,811612,846251,828014,787363,873704,905510,913195,842106,768442,760723,685448,708316,601242,518510,571001,414667,440196,443052,437426,438570,346700,306754,324245,322030,389497,315234,272536,274145,240644,215831,194701,177698,150234,122000,106083,82024,69976,58984,46791,36397,24602,19094,13588,12811,9225,5993,4274,20160
서울특별시  (1100000000),9729107,9729107,51145,54779,59128,65734,70013,69139,69031,76160,73259,74305,70378,74930,79942,73725,71582,79677,82287,82767,92621,111662,110727,117160,127846,137538,148693,158278,163318,170959,168286,153818,149445,148368,142549,141939,143557,141456,154667,163441,163787,160750,157941,133933,145000,142609,145629,157862,163865,167243,176438,170463,167963,164022,153253,140798,149743,148790,142141,153039,157352,162867,152404,141959,141460,128754,136069,114979,101482,110044,76918,85733,86235,84893,86715,69827,61120,61736,59938,70345,56062,47216,45815,39499,34909,30674,27939,22645,18612,16033,12629,10732,9536,7732,6115,4258,3207,2451,2420,1753,1241,977,6244
부산광역시  (2600000000),3413841,3413841,16478,19173,21401,24411,26500,26130,25864,28565,27662,27137,24926,26230,27664,24908,24532,26892,28483,28714,32955,37936,37583,40046,42794,45628,46634,46820,46057,46539,44469,39579,39715,38430,37252,37629,38889,40241,45953,50582,53421,53598,52646,45088,47540,45441,48683,52546,54826,55514,57978,57520,58184,58813,56502,52536,54845,54175,53869,61628,65319,67228,62572,58723,59782,54864,58476,48991,43286,46629,37351,36573,37264,36613,35058,27517,23337,26077,25796,28470,23453,20525,19478,16304,14540,12751,11420,9538,7536,6556,5137,4066,3629,2923,2319,1407,1141,828,699,538,341,242,1790
대구광역시  (2700000000),2438031,2438031,12896,14564,16408,18791,20148,20044,20047,22311,21648,21455,20249,21319,23059,20916,21044,22654,24517,24024,27936,31480,30635,31367,33670,33951,34520,33723,32825,33036,31499,28415,28369,26449,26501,26772,27714,27796,32218,35864,37116,37187,37362,32133,35591,35499,37557,40214,42290,43426,45078,44237,44861,46039,43736,40047,42028,41096,38808,43609,45044,42981,42461,35313,36719,33530,33958,28201,26463,28686,21875,21591,22325,22100,20667,14690,13224,15565,16065,18050,14756,12670,12865,10802,9773,8711,7876,6742,5307,4656,3539,2787,2196,1857,1410,896,733,491,377,296,216,141,678
인천광역시  (2800000000),2957026,2957026,17616,19351,20869,23781,25940,25667,25631,28242,27884,27419,26168,26988,28855,25774,25057,26886,28347,27915,31624,35637,34980,36299,38879,40306,42126,43425,44003,44894,43472,39224,38174,37257,36408,37158,38687,39202,44682,49091,50579,49951,49497,42919,45892,44003,46606,49649,51812,52111,54303,53169,53420,53978,50068,47933,51419,50886,48172,53160,53887,53671,48551,44760,42714,37328,38122,31558,26734,29121,18978,21404,21845,21289,21690,17516,14879,15093,15016,17611,14230,11969,12128,10859,9391,8797,8012,6641,5561,4812,3834,3304,2879,2217,1771,1216,968,728,619,432,340,223,883
광주광역시  (2900000000),1456468,1456468,8189,9440,10660,12333,13310,13487,13813,15416,14811,15060,14379,14886,16226,14704,14323,15615,16781,16679,19191,21647,20801,21526,22424,21867,22340,21385,20486,20535,19142,16942,16472,16177,16216,16690,17500,18374,21052,23487,23515,23460,23982,20999,22929,22848,22656,25674,25960,26056,27020,26442,25120,26455,24056,23266,23206,21694,21775,21739,22107,23862,21456,18988,18775,15826,16757,13927,12024,13399,10886,11331,11815,10821,11431,9054,7962,7933,7298,10078,7783,6520,6303,5639,5076,4233,4030,3557,2758,2324,1832,1722,1459,1045,797,579,444,270,313,206,141,90,399
대전광역시  (3000000000),1474870,1474870,8221,9361,10659,12064,13119,12880,13143,14279,14188,13915,13350,14163,15172,13809,13510,14983,15470,15497,17469,19756,19462,20242,21696,22163,22709,22333,21709,22023,20963,19329,18493,18188,17885,18165,18544,18477,20861,22961,23636,23270,22950,20897,22358,22296,22788,24910,26456,25931,27444,26451,27378,27257,24447,22409,23299,23052,20838,24373,25570,25246,22973,20325,20653,18870,18891,16412,13365,14411,10728,11679,11273,11121,10430,8302,7594,7974,7802,9555,7548,5914,6581,5730,5093,4620,4140,3557,2974,2548,1976,1634,1322,1137,892,546,453,327,306,194,128,92,333
울산광역시  (3100000000),1148019,1148019,7324,8129,9158,10584,11322,11305,11101,12239,11621,11588,10916,11289,11962,10531,10241,10881,11512,11344,13354,14703,14254,14712,15293,15203,15480,15248,15047,15204,15009,13687,13906,13453,13428,13813,14343,15012,17086,19190,19625,19887,19253,16720,17959,17043,17673,19058,19940,20214,21600,21311,21877,22535,21425,20741,21496,20335,18927,21135,21825,21063,19274,17401,16606,15024,15035,12298,11035,11069,8539,8370,7991,7942,7269,5346,4531,5030,5043,5740,4236,3818,3740,3163,2772,2465,2249,1978,1620,1337,1073,825,761,606,457,312,258,183,156,97,54,44,158
세종특별자치시  (3600000000),340575,340575,3657,4043,4383,4814,5101,4839,4905,5378,5065,5064,4723,4850,4689,4264,3795,3883,3704,3356,3262,3511,3315,3279,3237,3360,3420,3580,3576,4090,4246,4237,4502,4839,5116,5457,5730,5964,6772,7813,7713,7558,7770,6417,6836,6508,6344,6643,6469,5909,6075,5501,5137,5065,4376,3966,4083,3966,3545,4043,4218,4081,3668,3390,3354,3043,3129,2665,2069,2349,1673,1868,1852,1614,1585,1275,1111,1178,1170,1482,1205,973,1043,957,820,800,752,645,561,479,383,324,287,223,167,112,93,57,43,42,27,12,53
경기도  (4100000000),13239666,13239666,82540,94410,102974,117921,127335,126091,125332,139456,135009,133922,126910,132562,138380,125833,119528,129594,133415,132351,148120,168769,161036,164622,171435,174374,183007,185867,185274,190568,185708,168804,167270,167703,165550,169163,178227,180235,205294,225864,233918,232603,229695,200067,216194,211332,217251,233626,241847,242400,253229,244557,244110,240471,220535,208832,217660,213856,197833,217010,219484,219037,197592,181915,173008,153762,156048,131615,111844,123630,80272,89686,89738,89730,91664,74584,65716,66167,65151,76877,63118,54527,54012,48298,43429,38850,35503,29690,24157,21052,16165,14184,12052,9557,7421,5178,3999,2902,2594,1913,1232,920,3914
