행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_0세,2020년_계_1세,2020년_계_2세,2020년_계_3세,2020년_계_4세,2020년_계_5세,2020년_계_6세,2020년_계_7세,2020년_계_8세,2020년_계_9세,2020년_계_10세,2020년_계_11세,2020년_계_12세,2020년_계_13세,2020년_계_14세,2020년_계_15세,2020년_계_16세,2020년_계_17세,2020년_계_18세,2020년_계_19세,2020년_계_20세,2020년_계_21세,2020년_계_22세,2020년_계_23세,2020년_계_24세,2020년_계_25세,2020년_계_26세,2020년_계_27세,2020년_계_28세,2020년_계_29세,2020년_계_30세,2020년_계_31세,2020년_계_32세,2020년_계_33세,2020년_계_34세,2020년_계_35세,2020년_계_36세,2020년_계_37세,2020년_계_38세,2020년_계_39세,2020년_계_40세,2020년_계_41세,2020년_계_42세,2020년_계_43세,2020년_계_44세,2020년_계_45세,2020년_계_46세,2020년_계_47세,2020년_계_48세,2020년_계_49세,2020년_계_50세,2020년_계_51세,2020년_계_52세,2020년_계_53세,2020년_계_54세,2020년_계_55세,2020년_계_56세,2020년_계_57세,2020년_계_58세,2020년_계_59세,2020년_계_60세,2020년_계_61세,2020년_계_62세,2020년_계_63세,2020년_계_64세,2020년_계_65세,2020년_계_66세,2020년_계_67세,2020년_계_68세,2020년_계_69세,2020년_계_70세,2020년_계_71세,2020년_계_72세,2020년_계_73세,2020년_계_74세,2020년_계_75세,2020년_계_76세,2020년_계_77세,2020년_계_78세,2020년_계_79세,2020년_계_80세,2020년_계_81세,2020년_계_82세,2020년_계_83세,2020년_계_84세,2020년_계_85세,2020년_계_86세,2020년_계_87세,2020년_계_88세,2020년_계_89세,2020년_계_90세,2020년_계_91세,2020년_계_92세,2020년_계_93세,2020년_계_94세,2020년_계_95세,2020년_계_96세,2020년_계_97세,2020년_계_98세,2020년_계_99세,2020년_계_100세 이상
전국  (0000000000),51829023,51829023,265087,304651,331606,363250,412429,444367,440710,441560,489936,476474,473919,448450,469087,496175,449958,436320,473931,493036,494044,558416,638108,618752,638595,670075,684146,706819,712801,709626,724866,702365,640897,631573,626557,618482,628489,653259,662309,748699,822494,840358,837135,827427,721752,778395,761607,789046,856591,891471,892019,939344,913912,919030,920605,855730,809451,843823,825363,784660,870571,901869,909224,838270,764707,756768,681500,704145,597588,514832,566479,410993,435818,438250,432023,432512,341531,301435,317624,314642,378943,305468,263047,263250,229644,204672,183322,165702,138986,111642,95956,73201,61471,51192,40071,30653,20317,15518,10954,10214,7296,4774,21912
서울특별시  (1100000000),9668465,9668465,45165,50482,53099,57331,64404,68808,68085,68257,75438,72676,73776,70062,74955,79461,73398,71470,79105,81820,82413,95406,114046,113005,122481,135873,144710,156132,164766,167478,172930,168990,153016,148131,146240,140184,138811,140377,137812,150721,159550,160264,157562,155036,131923,142835,140652,143585,155782,161763,165067,173977,168100,165625,161482,150915,138608,147255,146459,139819,150635,154658,159897,149721,139410,138976,126456,133512,112961,99591,107975,75455,83992,84540,83055,84766,68193,59529,59974,58114,67961,53952,45303,43763,37489,32947,28717,26011,20923,17100,14573,11268,9536,8391,6722,5239,3615,2662,2031,1995,1423,1069,6792
부산광역시  (2600000000),3391946,3391946,14785,17149,19312,21565,24563,26588,26220,25895,28642,27637,27143,24917,26210,27637,24901,24453,26732,28427,28586,33008,38289,38075,40894,43225,45148,45707,45717,44860,45393,43679,39083,39330,38016,36901,37399,38656,40119,45896,50402,53212,53427,52366,44848,47305,45256,48410,52202,54484,55171,57679,57198,57821,58450,56056,52149,54445,53591,53389,61078,64736,66506,61848,58103,59049,54297,57889,48425,42680,46030,36793,36003,36623,35990,34355,26915,22841,25392,25040,27542,22598,19625,18613,15451,13667,11914,10489,8753,6801,5827,4540,3468,3103,2520,1919,1142,930,664,550,449,283,1887
대구광역시  (2700000000),2418346,2418346,10935,13326,14626,16445,18868,20143,20147,19952,22240,21544,21397,20137,21314,22949,20835,20941,22490,24448,23928,27459,31297,30670,31336,33291,33339,33826,32692,31868,32244,30971,27847,28013,26027,26161,26608,27466,27581,31981,35699,36927,36960,37119,31952,35476,35213,37291,39999,41987,43073,44769,43879,44501,45745,43279,39687,41599,40697,38392,43159,44541,42462,41881,34859,36245,33119,33546,27827,26113,28287,21618,21226,22008,21730,20304,14406,12962,15233,15626,17536,14245,12187,12266,10267,9216,8175,7273,6178,4802,4186,3115,2404,1866,1562,1181,726,609,393,297,231,160,733
인천광역시  (2800000000),2942828,2942828,15253,17615,19126,20685,23641,25731,25361,25436,28005,27781,27197,25999,26790,28761,25756,25061,26830,28306,27896,31566,35624,35025,36183,39073,40000,41852,43104,43590,44307,42788,38761,37561,36919,35891,36761,38325,38889,44285,48506,50248,49516,49170,42640,45656,43828,46359,49312,51648,51868,53980,52830,53039,53600,49747,47654,51052,50504,47796,52673,53272,53217,48029,44264,42253,36950,37720,31293,26428,28919,18806,21182,21621,21028,21409,17285,14572,14787,14714,17131,13774,11562,11691,10383,8947,8290,7490,6162,5105,4374,3500,2929,2501,1888,1514,1022,801,592,490,338,266,969
광주광역시  (2900000000),1450062,1450062,7147,8656,9663,10801,12503,13394,13631,13760,15364,14773,15024,14337,14889,16160,14696,14272,15517,16794,16609,18846,21552,20752,21292,22020,21481,21900,20952,20221,20264,18941,16842,16412,16082,16204,16592,17464,18342,21038,23402,23489,23435,23939,20953,22866,22758,22630,25588,25818,25997,26883,26375,24951,26268,23793,22996,22931,21545,21576,21501,21886,23582,21159,18772,18494,15622,16539,13775,11827,13267,10747,11189,11618,10645,11234,8884,7839,7780,7091,9738,7523,6262,6035,5388,4810,3946,3730,3291,2490,2077,1642,1512,1261,867,666,481,348,220,255,158,107,424
대전광역시  (3000000000),1463882,1463882,7303,8488,9347,10596,11950,12950,12755,12990,14099,14051,13811,13257,14067,15014,13771,13429,14874,15430,15375,17408,19826,19574,20576,21795,22030,22471,22134,21532,21796,20754,19092,18272,18046,17656,17846,18354,18297,20520,22641,23364,23012,22760,20718,22169,22148,22588,24747,26207,25715,27152,26197,27014,27033,24098,22091,23000,22679,20506,24028,25275,24881,22612,20043,20370,18514,18645,16142,13182,14201,10563,11504,11109,10918,10272,8158,7437,7774,7570,9287,7291,5737,6298,5473,4811,4357,3846,3277,2697,2271,1752,1427,1155,1000,753,438,347,242,223,151,105,371
울산광역시  (3100000000),1136017,1136017,6375,7398,8022,9069,10471,11231,11203,11034,12165,11538,11491,10863,11255,11905,10463,10214,10784,11469,11260,12716,14270,13689,13913,14403,14473,14838,14725,14600,14837,14821,13407,13776,13275,13329,13611,14111,14878,16866,18969,19483,19728,19140,16634,17801,16880,17510,18896,19781,20029,21409,21131,21705,22316,21276,20523,21284,20106,18734,20851,21595,20793,18984,17165,16368,14811,14818,12154,10902,10915,8437,8242,7869,7778,7167,5242,4420,4904,4921,5563,4062,3696,3543,3014,2615,2296,2094,1823,1488,1199,944,694,657,501,382,250,201,151,128,79,43,175
세종특별자치시  (3600000000),355831,355831,3344,3807,4174,4566,5010,5307,5109,5123,5567,5276,5208,4903,5013,4848,4347,3881,3985,3746,3406,3340,3630,3331,3321,3321,3453,3537,3744,3930,4485,4701,4650,4885,5200,5467,5812,5976,6228,7052,8128,8094,7877,8048,6670,7123,6680,6573,6815,6638,6108,6299,5646,5322,5181,4526,4092,4152,4100,3667,4202,4317,4149,3815,3511,3443,3091,3225,2743,2097,2378,1687,1902,1876,1631,1601,1266,1123,1175,1172,1458,1188,941,1009,923,796,760,737,617,522,455,349,304,262,200,142,86,69,47,40,33,17,50
경기도  (4100000000),13427014,13427014,76810,88101,96802,105278,119777,128940,127560,126241,140538,135937,134861,127586,133064,139128,126339,119870,130058,134067,133149,150092,170114,163189,167501,175328,180104,188161,189625,189085,194898,189843,173041,171600,172364,170162,173908,182714,184800,210197,230874,237799,236175,232746,202221,218287,213141,218960,235471,243531,243837,255054,246054,245517,241692,221655,209901,218779,214724,198661,217635,220302,219678,198202,182530,173364,154077,156741,131934,112037,123634,80237,89482,89486,89368,90986,74147,65169,65498,64281,75597,61801,53088,52395,46511,41534,37121,33471,27823,22357,19306,14607,12645,10550,8262,6327,4300,3311,2358,2111,1545,980,4315
