"행정구역","2019년_총인구수","2019년_세대수","2019년_세대당 인구"
"서울특별시  (1100000000)","9,729,107","4,327,605","          2.25"
"서울특별시 종로구 (1111000000)","151,290","73,947","          2.05"
"서울특별시 중구 (1114000000)","126,171","62,739","          2.01"
"서울특별시 용산구 (1117000000)","228,670","110,126","          2.08"
"서울특별시 성동구 (1120000000)","300,889","135,838","          2.22"
"서울특별시 광진구 (1121500000)","351,350","164,428","          2.14"
"서울특별시 동대문구 (1123000000)","346,194","164,191","          2.11"
"서울특별시 중랑구 (1126000000)","397,015","181,579","          2.19"
"서울특별시 성북구 (1129000000)","442,650","192,592","          2.30"
"서울특별시 강북구 (1130500000)","313,954","144,277","          2.18"
"서울특별시 도봉구 (1132000000)","333,362","138,508","          2.41"
"서울특별시 노원구 (1135000000)","532,905","216,966","          2.46"
"서울특별시 은평구 (1138000000)","480,032","207,681","          2.31"
"서울특별시 서대문구 (1141000000)","309,397","140,157","          2.21"
"서울특별시 마포구 (1144000000)","374,035","175,023","          2.14"
"서울특별시 양천구 (1147000000)","458,165","177,256","          2.58"
"서울특별시 강서구 (1150000000)","591,796","262,708","          2.25"
"서울특별시 구로구 (1153000000)","406,664","176,568","          2.30"
"서울특별시 금천구 (1154500000)","232,810","110,622","          2.10"
"서울특별시 영등포구 (1156000000)","367,678","174,806","          2.10"
"서울특별시 동작구 (1159000000)","395,963","180,753","          2.19"
"서울특별시 관악구 (1162000000)","500,094","268,559","          1.86"
"서울특별시 서초구 (1165000000)","430,826","173,199","          2.49"
"서울특별시 강남구 (1168000000)","545,169","232,981","          2.34"
"서울특별시 송파구 (1171000000)","675,961","278,711","          2.43"
"서울특별시 강동구 (1174000000)","436,067","183,390","          2.38"
