행정구역,2012년_계_총인구수,2012년_계_연령구간인구수,2012년_계_0세,2012년_계_1세,2012년_계_2세,2012년_계_3세,2012년_계_4세,2012년_계_5세,2012년_계_6세,2012년_계_7세,2012년_계_8세,2012년_계_9세,2012년_계_10세,2012년_계_11세,2012년_계_12세,2012년_계_13세,2012년_계_14세,2012년_계_15세,2012년_계_16세,2012년_계_17세,2012년_계_18세,2012년_계_19세,2012년_계_20세,2012년_계_21세,2012년_계_22세,2012년_계_23세,2012년_계_24세,2012년_계_25세,2012년_계_26세,2012년_계_27세,2012년_계_28세,2012년_계_29세,2012년_계_30세,2012년_계_31세,2012년_계_32세,2012년_계_33세,2012년_계_34세,2012년_계_35세,2012년_계_36세,2012년_계_37세,2012년_계_38세,2012년_계_39세,2012년_계_40세,2012년_계_41세,2012년_계_42세,2012년_계_43세,2012년_계_44세,2012년_계_45세,2012년_계_46세,2012년_계_47세,2012년_계_48세,2012년_계_49세,2012년_계_50세,2012년_계_51세,2012년_계_52세,2012년_계_53세,2012년_계_54세,2012년_계_55세,2012년_계_56세,2012년_계_57세,2012년_계_58세,2012년_계_59세,2012년_계_60세,2012년_계_61세,2012년_계_62세,2012년_계_63세,2012년_계_64세,2012년_계_65세,2012년_계_66세,2012년_계_67세,2012년_계_68세,2012년_계_69세,2012년_계_70세,2012년_계_71세,2012년_계_72세,2012년_계_73세,2012년_계_74세,2012년_계_75세,2012년_계_76세,2012년_계_77세,2012년_계_78세,2012년_계_79세,2012년_계_80세,2012년_계_81세,2012년_계_82세,2012년_계_83세,2012년_계_84세,2012년_계_85세,2012년_계_86세,2012년_계_87세,2012년_계_88세,2012년_계_89세,2012년_계_90세,2012년_계_91세,2012년_계_92세,2012년_계_93세,2012년_계_94세,2012년_계_95세,2012년_계_96세,2012년_계_97세,2012년_계_98세,2012년_계_99세,2012년_계_100세 이상
전국  (0000000000),50948272,50948272,464374,472275,470956,446256,467432,494810,449057,435863,474009,493679,495216,559908,639852,620407,640593,672396,686179,708614,713978,710136,724591,701604,638824,629880,624641,616444,626913,652491,662132,749428,824093,842882,839992,830608,725023,782721,766119,794544,863524,899437,900882,949293,924633,930966,933973,869201,823917,859816,841948,801529,891073,925969,934977,863920,789529,783222,707367,732597,623936,538980,595719,435022,463534,469007,465321,469855,374910,335357,358373,361438,446100,366899,324843,334845,301656,279067,261025,248595,219926,187387,172233,141498,130156,118162,101583,86810,66364,57325,45613,45347,36487,25746,19357,14551,10445,8688,6184,4423,3490,2665,12657
서울특별시  (1100000000),10195318,10195318,87070,85490,83968,78338,82240,85878,78710,75315,83258,85720,85656,95388,111130,106908,111864,118800,122232,128406,132364,133761,139523,139129,130993,133871,140471,142752,150889,161430,164531,185355,198489,200068,195436,190369,159370,169868,164050,165628,177120,181844,184378,193150,185898,183461,179153,167825,154931,164763,164575,157645,170129,176368,183025,172136,161153,161263,147620,155635,132296,116711,127044,89094,98918,100125,98757,101311,82019,72512,73513,72439,86430,69443,59620,59091,51844,47015,42771,40400,34314,29111,26676,22069,20343,19122,16611,14093,11176,9373,7824,7849,6343,4635,3623,2715,1982,1710,1305,967,791,617,3926
부산광역시  (2600000000),3538484,3538484,27241,27423,27079,24766,26144,27666,24950,24533,26967,28665,28786,33158,38035,37605,39722,41865,44941,46504,47985,48721,50802,49761,45461,46663,45106,44242,43852,44732,45583,50572,55133,57506,57177,55333,47126,49543,46825,50165,54053,56497,56908,59700,59376,60243,61173,58812,55208,57874,57176,57099,65612,70012,72248,67447,63688,64916,59769,63957,53738,47534,51285,41092,40445,41256,40829,39073,30895,26495,29992,29988,33809,28386,25435,24722,21193,19684,17964,16660,14686,12278,11347,9608,8131,7597,6782,5739,4182,3645,2721,2630,2078,1443,1070,748,556,458,331,245,247,198,1183
대구광역시  (2700000000),2505644,2505644,20623,20968,20839,19842,21088,22696,20750,20892,22572,24573,24259,28318,32856,32147,33003,35744,36516,38228,37961,37336,38188,36919,33382,33246,30999,30125,29809,29864,29558,33883,37118,38333,37977,37939,32507,36004,35864,38320,41031,43201,44490,46451,45873,46886,48363,46083,42311,44590,43621,41508,46859,48608,46350,45973,38045,39697,36393,36708,30653,28834,31312,23915,23659,24476,24356,22700,16302,14828,17588,18407,21151,17418,15410,15954,13748,12857,11845,11275,10187,8386,7951,6357,5351,4690,4370,3738,2678,2368,1829,1599,1331,950,723,503,361,304,207,146,120,103,417
인천광역시  (2800000000),2843981,2843981,26925,27667,27617,26207,27156,28901,25638,24752,26461,28163,27605,31301,35394,34721,35748,38235,39166,41006,41662,42408,43411,42457,38690,37654,36987,35982,36270,37759,37827,43141,47210,49000,48520,48301,42232,45261,43580,45954,49406,51627,51978,53935,52916,53531,54333,50377,48607,52146,51604,48859,54445,55141,55282,50190,46194,44053,38553,39281,32751,27566,30225,19750,22261,22796,22146,22781,18553,15854,16213,16454,19641,15925,13634,14222,13215,11830,11222,10683,9243,7996,7421,6063,5853,5348,4552,3865,2954,2645,2251,2074,1651,1215,886,677,468,434,259,194,145,126,512
광주광역시  (2900000000),1469216,1469216,13917,14273,14601,14106,14837,16001,14814,14284,15733,17078,16900,19476,22583,21822,22713,23880,23653,24519,23971,23362,23596,22012,19598,18694,18166,17888,18115,18587,19106,21820,24039,23917,23773,24401,21176,23239,23201,23105,26064,26393,26542,27640,27289,25910,27421,24957,24348,24401,22939,23033,23042,23546,25348,22852,20336,20086,16960,17929,14834,12779,14408,11689,12237,12772,11773,12492,9891,8852,8890,8272,11465,9065,7798,7682,7011,6533,5669,5710,5161,4247,3784,3237,3186,2926,2327,2045,1554,1369,982,1150,848,639,465,358,281,176,148,110,93,49,267
대전광역시  (3000000000),1524583,1524583,14739,15121,14893,14423,15238,16206,14949,14466,15815,16414,16295,18318,20764,20347,21099,22161,22633,23303,23241,22667,23251,22680,20671,20179,20060,19511,19688,20227,20375,22803,24920,25400,25269,25082,22534,24253,23990,24463,26622,28178,27407,29120,28079,29145,29168,26417,24234,25380,25214,22692,26725,28020,27596,25054,22260,22815,20689,20683,18041,14655,15747,11741,12850,12458,12166,11512,9187,8414,8943,8793,10965,8701,7158,7881,7163,6478,6229,5732,5153,4468,4048,3358,3067,2700,2487,2159,1501,1330,1139,1118,857,572,433,333,259,213,164,107,87,45,225
울산광역시  (3100000000),1147256,1147256,11798,11753,11693,11102,11417,12063,10647,10407,11022,11745,11600,13594,15648,15569,16208,17391,17689,18455,18383,17973,17950,17547,15138,14877,13863,13373,13659,14074,14650,16651,18804,19378,19694,19174,16766,17974,17067,17753,19356,20263,20703,21994,21977,22484,23257,22116,21425,22264,21135,19746,22175,22949,22244,20512,18612,17884,16198,16262,13353,11954,12042,9408,9268,8713,8677,7984,5959,5074,5715,5800,6740,5051,4665,4631,4092,3670,3347,3127,2916,2533,2245,1873,1673,1525,1385,1182,839,792,631,581,464,312,243,176,113,105,72,46,45,28,102
세종특별자치시  (3600000000),113117,113117,1143,1183,1272,1191,1290,1281,1182,1106,1196,1188,1173,1292,1370,1317,1319,1247,1198,1265,1291,1255,1358,1368,1283,1209,1240,1124,1278,1211,1333,1423,1732,1768,1822,1854,1589,1814,1779,1770,2018,2166,1969,2106,1860,1884,1899,1694,1564,1654,1667,1496,1797,1907,1977,1753,1612,1608,1522,1689,1488,1167,1313,1001,1155,1143,1080,1053,859,807,908,929,1254,1012,919,977,902,818,834,797,760,641,579,495,442,404,343,273,235,196,156,147,139,98,38,36,41,17,30,15,12,9,39
경기도  (4100000000),12093299,12093299,120951,125978,127137,121401,127876,134762,122929,117857,127884,131800,130740,146002,165698,158736,162058,167490,168578,173572,174044,172232,174301,168075,151467,147907,147066,143629,145479,152829,155002,176345,197065,206178,207372,207514,183668,201602,199935,207485,225475,234777,236341,248452,240967,240235,237196,217693,206916,215562,211036,195072,214622,217109,216253,194601,178365,169563,150394,153006,128661,108841,121168,78883,88411,88711,89103,91984,75665,67452,68838,68464,82794,69566,61131,62304,57132,52748,49073,46567,40617,34667,31569,25846,24068,21994,18670,15926,12531,10712,8728,8561,6889,4986,3728,2860,2017,1707,1170,851,636,492,2299
