"행정구역","2018년_총인구수","2018년_세대수","2018년_세대당 인구"
"서울특별시  (1100000000)","9,765,623","4,263,868","          2.29"
"서울특별시 종로구 (1111000000)","153,065","73,735","          2.08"
"서울특별시 중구 (1114000000)","125,725","61,502","          2.04"
"서울특별시 용산구 (1117000000)","228,999","108,974","          2.10"
"서울특별시 성동구 (1120000000)","308,221","137,209","          2.25"
"서울특별시 광진구 (1121500000)","355,559","162,606","          2.19"
"서울특별시 동대문구 (1123000000)","348,052","161,820","          2.15"
"서울특별시 중랑구 (1126000000)","403,209","180,511","          2.23"
"서울특별시 성북구 (1129000000)","435,868","186,601","          2.34"
"서울특별시 강북구 (1130500000)","319,164","143,395","          2.23"
"서울특별시 도봉구 (1132000000)","339,413","138,087","          2.46"
"서울특별시 노원구 (1135000000)","543,752","217,655","          2.50"
"서울특별시 은평구 (1138000000)","483,197","205,001","          2.36"
"서울특별시 서대문구 (1141000000)","310,313","138,549","          2.24"
"서울특별시 마포구 (1144000000)","375,077","172,505","          2.17"
"서울특별시 양천구 (1147000000)","464,185","176,498","          2.63"
"서울특별시 강서구 (1150000000)","596,949","258,503","          2.31"
"서울특별시 구로구 (1153000000)","404,497","172,457","          2.35"
"서울특별시 금천구 (1154500000)","233,917","107,971","          2.17"
"서울특별시 영등포구 (1156000000)","367,778","171,085","          2.15"
"서울특별시 동작구 (1159000000)","396,203","177,176","          2.24"
"서울특별시 관악구 (1162000000)","501,957","262,222","          1.91"
"서울특별시 서초구 (1165000000)","433,951","172,918","          2.51"
"서울특별시 강남구 (1168000000)","542,364","228,775","          2.37"
"서울특별시 송파구 (1171000000)","666,635","270,866","          2.46"
"서울특별시 강동구 (1174000000)","427,573","177,247","          2.41"
