행정구역,2013년_계_총인구수,2013년_계_연령구간인구수,2013년_계_0세,2013년_계_1세,2013년_계_2세,2013년_계_3세,2013년_계_4세,2013년_계_5세,2013년_계_6세,2013년_계_7세,2013년_계_8세,2013년_계_9세,2013년_계_10세,2013년_계_11세,2013년_계_12세,2013년_계_13세,2013년_계_14세,2013년_계_15세,2013년_계_16세,2013년_계_17세,2013년_계_18세,2013년_계_19세,2013년_계_20세,2013년_계_21세,2013년_계_22세,2013년_계_23세,2013년_계_24세,2013년_계_25세,2013년_계_26세,2013년_계_27세,2013년_계_28세,2013년_계_29세,2013년_계_30세,2013년_계_31세,2013년_계_32세,2013년_계_33세,2013년_계_34세,2013년_계_35세,2013년_계_36세,2013년_계_37세,2013년_계_38세,2013년_계_39세,2013년_계_40세,2013년_계_41세,2013년_계_42세,2013년_계_43세,2013년_계_44세,2013년_계_45세,2013년_계_46세,2013년_계_47세,2013년_계_48세,2013년_계_49세,2013년_계_50세,2013년_계_51세,2013년_계_52세,2013년_계_53세,2013년_계_54세,2013년_계_55세,2013년_계_56세,2013년_계_57세,2013년_계_58세,2013년_계_59세,2013년_계_60세,2013년_계_61세,2013년_계_62세,2013년_계_63세,2013년_계_64세,2013년_계_65세,2013년_계_66세,2013년_계_67세,2013년_계_68세,2013년_계_69세,2013년_계_70세,2013년_계_71세,2013년_계_72세,2013년_계_73세,2013년_계_74세,2013년_계_75세,2013년_계_76세,2013년_계_77세,2013년_계_78세,2013년_계_79세,2013년_계_80세,2013년_계_81세,2013년_계_82세,2013년_계_83세,2013년_계_84세,2013년_계_85세,2013년_계_86세,2013년_계_87세,2013년_계_88세,2013년_계_89세,2013년_계_90세,2013년_계_91세,2013년_계_92세,2013년_계_93세,2013년_계_94세,2013년_계_95세,2013년_계_96세,2013년_계_97세,2013년_계_98세,2013년_계_99세,2013년_계_100세 이상
전국  (0000000000),51141463,51141463,421465,486655,474098,472047,447055,467935,495221,449321,436031,474106,493745,495256,559931,639858,620395,640464,672216,685900,708247,713703,709873,724415,701573,639047,630294,625006,616877,627363,652794,662287,749526,823955,842670,839693,830278,724684,782219,765654,793938,862797,898484,899902,948188,923443,929667,932439,867657,822249,857982,839950,799571,888563,923103,931945,860888,786649,780052,704263,729354,620868,536154,592397,432276,460305,465536,461926,466283,371513,331824,354342,356693,439452,360741,318589,327562,294276,271436,253041,239889,211121,179171,163594,133703,121912,109808,93689,79247,59633,50987,39874,39357,31165,21718,16107,11883,8387,6906,4946,3580,2838,13793
서울특별시  (1100000000),10143645,10143645,78576,88271,82972,82113,76825,80786,84583,77366,74650,82595,85082,85239,95197,110486,106669,111753,118196,121842,127962,133384,134206,140378,142056,135269,138473,144967,146600,153090,161747,163057,182248,194120,194965,190207,185293,154814,165586,160454,161977,173787,178883,181713,190726,184167,181371,177335,165875,153125,163045,162713,155762,168057,174089,180432,169747,158740,158722,145187,153199,129870,114474,124628,87322,96820,98094,96948,99381,80330,71025,71913,70798,84397,67721,58019,57326,50202,45327,41164,38703,32792,27777,25261,20811,19088,17772,15294,12989,10060,8390,6866,6816,5416,3932,3075,2235,1606,1398,1103,810,697,4266
부산광역시  (2600000000),3527635,3527635,24825,28646,27636,27190,24907,26261,27840,25031,24558,27031,28693,28892,33279,38093,37619,39759,41869,44880,46391,48030,48710,50976,50069,45232,46037,44139,42897,42617,43581,44384,49522,54056,56615,56436,54787,46749,49294,46666,49983,53951,56363,56839,59660,59193,60019,60904,58646,54924,57566,56695,56705,65234,69417,71633,66774,63166,64271,59086,63234,53031,46976,50640,40516,39905,40691,40347,38556,30494,26024,29519,29467,33138,27795,24766,24116,20588,19101,17305,15999,13998,11665,10722,9032,7576,7017,6194,5249,3714,3192,2380,2248,1742,1212,870,611,452,358,270,195,205,1299
대구광역시  (2700000000),2501588,2501588,18708,21647,21177,21018,19963,21215,22968,20801,20959,22649,24623,24315,28458,32846,32088,32989,35556,36478,37961,37431,37062,37849,36467,32598,32346,29930,29183,28818,29212,29082,33313,36671,38064,37800,37977,32465,36058,35814,38339,41018,43254,44534,46339,45837,46755,48220,45872,42164,44327,43442,41171,46463,48158,45932,45488,37669,39348,36015,36435,30323,28516,30996,23626,23330,24212,24083,22458,16062,14628,17358,18094,20781,17080,15128,15566,13432,12504,11487,10892,9796,8040,7529,5966,5015,4323,3995,3334,2363,2081,1559,1379,1135,809,592,411,291,241,161,114,99,460
인천광역시  (2800000000),2879782,2879782,24908,28749,28279,27879,26438,27277,29019,25796,24961,26702,28276,27763,31422,35639,34857,35865,38306,39325,41091,41645,42715,43681,42784,39104,38152,37378,36333,36809,38164,38449,43856,48144,50020,49524,49087,42826,45802,44085,46438,49792,52028,52349,54159,53160,53776,54425,50506,48637,52138,51744,48903,54390,55106,55347,50205,46235,44038,38533,39291,32773,27506,30125,19672,22188,22737,22119,22767,18448,15790,16154,16317,19395,15735,13497,14047,12940,11572,10976,10380,8971,7757,7118,5798,5476,5014,4222,3541,2691,2380,1957,1814,1389,1051,770,577,387,351,220,158,117,575
광주광역시  (2900000000),1472910,1472910,12407,14846,14564,14811,14261,14939,16302,14756,14330,15759,17103,16902,19550,22584,21818,22738,23692,23638,24407,23641,23234,23380,21705,19160,18387,17775,17554,17762,18375,19058,21819,23961,23796,23842,24397,21231,23347,23220,23145,26087,26385,26486,27580,27237,25892,27355,24887,24276,24279,22776,22888,22858,23414,25102,22614,20174,19872,16782,17789,14708,12705,14269,11606,12154,12665,11698,12358,9804,8783,8783,8131,11324,8959,7630,7511,6861,6327,5521,5509,4954,4048,3610,3065,2966,2715,2139,1865,1379,1228,870,988,719,540,398,278,220,135,118,86,84,270
대전광역시  (3000000000),1532811,1532811,13677,15606,15332,15160,14508,15356,16418,14975,14485,15872,16477,16294,18357,20807,20329,21096,22153,22582,23213,23213,22717,23409,22800,20781,20008,19879,19242,19483,20088,20344,22831,24998,25463,25530,25068,22534,24368,23956,24571,26634,28239,27424,29198,28052,29154,29116,26374,24142,25242,25049,22618,26503,27850,27385,24864,22065,22569,20534,20502,17864,14511,15585,11592,12737,12377,12041,11417,9098,8346,8846,8678,10824,8542,7000,7695,7009,6332,6028,5553,4995,4274,3906,3201,2883,2525,2297,1977,1323,1177,991,992,707,485,365,257,203,168,128,83,70,235
울산광역시  (3100000000),1156480,1156480,10979,12347,11875,11766,11184,11423,12077,10674,10411,11000,11727,11597,13603,15622,15546,16230,17325,17647,18379,17979,17832,17759,17115,14916,14814,13916,13603,13911,14349,14949,17007,19207,19727,19997,19386,16934,18127,17175,17912,19461,20296,20689,21977,21901,22505,23289,22145,21419,22248,21108,19729,22065,22903,22165,20402,18533,17774,16067,16141,13235,11828,11937,9321,9182,8612,8586,7911,5889,5020,5639,5729,6621,4926,4564,4541,3985,3563,3261,2999,2808,2433,2136,1740,1559,1431,1250,1068,751,688,546,494,397,260,196,139,83,73,51,38,37,109
세종특별자치시  (3600000000),122153,122153,1132,1339,1357,1415,1354,1455,1447,1308,1237,1316,1304,1268,1348,1483,1399,1410,1329,1263,1323,1413,1349,1478,1507,1345,1329,1344,1297,1383,1385,1467,1570,1955,1945,2014,2069,1784,2035,1996,1963,2263,2357,2188,2341,2054,2066,2030,1811,1700,1778,1784,1596,1961,2017,2063,1850,1678,1706,1604,1748,1530,1208,1356,1034,1186,1171,1108,1067,863,811,927,926,1251,1016,917,968,899,809,806,797,717,614,564,466,421,373,326,257,206,180,135,123,125,87,33,29,37,14,27,10,9,40
경기도  (4100000000),12234630,12234630,109468,129457,127915,128486,122513,128738,135306,123640,118011,128042,132036,130834,145987,165985,158849,162037,167647,168712,174076,174639,172418,174987,169344,153256,149529,149395,145939,148041,155485,157745,180108,200821,209851,210859,210606,186206,203688,201495,208841,226532,235399,236813,248656,240695,240231,236917,217520,206682,215251,210768,194916,214355,216950,216000,194405,178203,169481,150378,153027,128858,109033,121203,78841,88414,88587,88948,91870,75417,67149,68454,68085,81988,68738,60310,61272,56032,51628,47873,45215,39244,33315,30214,24595,22694,20687,17422,14647,11403,9674,7732,7513,5999,4275,3106,2358,1637,1376,935,689,507,2522
강원도  (4200000000),1542263,1542263,10703,12612,12522,12728,12281,12609,13936,12647,12897,13933,14420,15242,16813,19084,18658,19243,20262,20154,20537,21185,21204,21597,20543,18991,17798,16915,15859,15709,15991,15757,18153,20000,20020,20279,20175,18976,19922,19971,21065,23683,25047,24615,25924,25556,26429,27103,24752,24898,24307,24538,24364,27823,29699,29785,28593,26795,27159,24126,24081,21719,18182,22005,12505,13640,14005,15130,15851,13889,13740,14203,14298,16786,14884,14093,13913,12858,11377,10771,9662,8366,7121,6089,5346,5307,4605,4021,3254,2597,2441,1942,1770,1319,908,684,572,402,347,210,158,102,523
충청북도  (4300000000),1572732,1572732,13222,15004,14859,14823,14079,14605,15472,13935,13652,14934,15253,15765,17829,19982,19670,20457,21388,21824,21986,21889,21900,21886,20530,18694,18036,18034,17773,18088,18646,18966,21098,23449,23180,23043,23186,20440,22194,22193,22877,25408,26551,25030,26886,26404,28648,28387,26498,25371,26175,24711,22663,27731,30080,27728,26272,24932,25189,22558,22296,19620,16992,19437,13016,13397,13723,14054,14112,11270,11163,11875,12224,15775,12803,11242,12480,11015,10550,10139,9752,8424,7325,6212,4977,4746,4188,3517,2981,2233,2024,1473,1320,1207,840,542,425,310,238,166,123,108,355
